,implementation,size,rep,time
31,anjl 1.1.1 canonical_nj,1600,1,0.864171028137207
32,anjl 1.1.1 canonical_nj,1600,2,0.858025074005127
33,anjl 1.1.1 canonical_nj,1800,0,1.2587199211120603
34,anjl 1.1.1 canonical_nj,1800,1,1.2505807876586914
35,anjl 1.1.1 canonical_nj,1800,2,1.2498865127563477
36,anjl 1.1.1 canonical_nj,2000,0,1.7501671314239502
37,anjl 1.1.1 canonical_nj,2000,1,1.7577760219573977
38,anjl 1.1.1 canonical_nj,2000,2,1.735203742980957
39,anjl 1.1.1 canonical_nj,2200,0,2.3194196224212646
40,anjl 1.1.1 canonical_nj,2200,1,2.338938474655152
41,anjl 1.1.1 canonical_nj,2200,2,2.3366146087646484
42,anjl 1.1.1 canonical_nj,2400,0,3.055474042892456
43,anjl 1.1.1 canonical_nj,2400,1,3.0629658699035645
44,anjl 1.1.1 canonical_nj,2400,2,3.0787596702575684
45,anjl 1.1.1 canonical_nj,2600,0,3.917200565338135
46,anjl 1.1.1 canonical_nj,2600,1,3.9329581260681152
47,anjl 1.1.1 canonical_nj,2600,2,3.951272964477539
48,anjl 1.1.1 canonical_nj,2800,0,4.8931145668029785
49,anjl 1.1.1 canonical_nj,2800,1,4.984992980957031
50,anjl 1.1.1 canonical_nj,2800,2,4.968976974487305
51,anjl 1.1.1 canonical_nj,3000,0,6.169813394546509
52,anjl 1.1.1 canonical_nj,3000,1,6.166981935501099
53,anjl 1.1.1 canonical_nj,3000,2,6.160069465637207
54,anjl 1.1.1 canonical_nj,3500,0,9.824808597564695
55,anjl 1.1.1 canonical_nj,3500,1,9.851853609085085
56,anjl 1.1.1 canonical_nj,3500,2,9.802756071090698
57,anjl 1.1.1 canonical_nj,4000,0,14.886491775512695
58,anjl 1.1.1 canonical_nj,4000,1,14.766284704208374
59,anjl 1.1.1 canonical_nj,4000,2,14.810696840286257
60,anjl 1.1.1 canonical_nj,4500,0,21.0938572883606
61,anjl 1.1.1 canonical_nj,4500,1,21.272554636001587
62,anjl 1.1.1 canonical_nj,4500,2,21.26005220413208
63,anjl 1.1.1 canonical_nj,5000,0,29.243940830230716
64,anjl 1.1.1 canonical_nj,5000,1,29.201868057250977
65,anjl 1.1.1 canonical_nj,5000,2,29.367279529571533
66,anjl 1.1.1 canonical_nj,5500,0,39.57685852050781
67,anjl 1.1.1 canonical_nj,5500,1,39.591980934143066
68,anjl 1.1.1 canonical_nj,5500,2,39.66725397109985
69,anjl 1.1.1 canonical_nj,6000,0,52.15050005912781
70,anjl 1.1.1 canonical_nj,6000,1,52.298606634140015
71,anjl 1.1.1 canonical_nj,6000,2,51.99062609672546
0,anjl 1.1.1 rapid_nj,50,0,0.0005173683166503
1,anjl 1.1.1 rapid_nj,50,1,0.0007374286651611
2,anjl 1.1.1 rapid_nj,50,2,0.0004825592041015
3,anjl 1.1.1 rapid_nj,100,0,0.0016064643859863
4,anjl 1.1.1 rapid_nj,100,1,0.0014512538909912
5,anjl 1.1.1 rapid_nj,100,2,0.00156831741333
6,anjl 1.1.1 rapid_nj,150,0,0.0032157897949218
7,anjl 1.1.1 rapid_nj,150,1,0.0029437541961669
8,anjl 1.1.1 rapid_nj,150,2,0.0032176971435546
9,anjl 1.1.1 rapid_nj,200,0,0.0053856372833251
10,anjl 1.1.1 rapid_nj,200,1,0.005622386932373
11,anjl 1.1.1 rapid_nj,200,2,0.0073084831237792
12,anjl 1.1.1 rapid_nj,400,0,0.0273358821868896
13,anjl 1.1.1 rapid_nj,400,1,0.03086519241333
14,anjl 1.1.1 rapid_nj,400,2,0.0253162384033203
15,anjl 1.1.1 rapid_nj,600,0,0.0677838325500488
16,anjl 1.1.1 rapid_nj,600,1,0.0684728622436523
17,anjl 1.1.1 rapid_nj,600,2,0.0742335319519043
18,anjl 1.1.1 rapid_nj,800,0,0.1280121803283691
19,anjl 1.1.1 rapid_nj,800,1,0.1198749542236328
20,anjl 1.1.1 rapid_nj,800,2,0.1387920379638672
21,anjl 1.1.1 rapid_nj,1000,0,0.2104072570800781
22,anjl 1.1.1 rapid_nj,1000,1,0.2223601341247558
23,anjl 1.1.1 rapid_nj,1000,2,0.1974978446960449
24,anjl 1.1.1 rapid_nj,1200,0,0.3371388912200928
25,anjl 1.1.1 rapid_nj,1200,1,0.3372025489807129
26,anjl 1.1.1 rapid_nj,1200,2,0.3114264011383056
27,anjl 1.1.1 rapid_nj,1400,0,0.5234427452087402
28,anjl 1.1.1 rapid_nj,1400,1,0.518507719039917
29,anjl 1.1.1 rapid_nj,1400,2,0.4716947078704834
30,anjl 1.1.1 rapid_nj,1600,0,0.6977174282073975
31,anjl 1.1.1 rapid_nj,1600,1,0.6921305656433105
32,anjl 1.1.1 rapid_nj,1600,2,0.6242427825927734
33,anjl 1.1.1 rapid_nj,1800,0,0.8827171325683594
34,anjl 1.1.1 rapid_nj,1800,1,1.0973925590515137
35,anjl 1.1.1 rapid_nj,1800,2,0.8681769371032715
36,anjl 1.1.1 rapid_nj,2000,0,1.2560193538665771
37,anjl 1.1.1 rapid_nj,2000,1,1.446186065673828
38,anjl 1.1.1 rapid_nj,2000,2,1.1465051174163818
39,anjl 1.1.1 rapid_nj,2200,0,1.683035135269165
40,anjl 1.1.1 rapid_nj,2200,1,2.03933334350586
41,anjl 1.1.1 rapid_nj,2200,2,1.5061078071594238
42,anjl 1.1.1 rapid_nj,2400,0,2.1654698848724365
43,anjl 1.1.1 rapid_nj,2400,1,2.5189085006713867
44,anjl 1.1.1 rapid_nj,2400,2,1.818413496017456
45,anjl 1.1.1 rapid_nj,2600,0,2.7245986461639404
46,anjl 1.1.1 rapid_nj,2600,1,3.1140146255493164
47,anjl 1.1.1 rapid_nj,2600,2,2.2582309246063232
48,anjl 1.1.1 rapid_nj,2800,0,3.3093738555908203
49,anjl 1.1.1 rapid_nj,2800,1,3.308834314346313
50,anjl 1.1.1 rapid_nj,2800,2,2.780744791030884
51,anjl 1.1.1 rapid_nj,3000,0,4.020121335983276
52,anjl 1.1.1 rapid_nj,3000,1,4.063239812850952
53,anjl 1.1.1 rapid_nj,3000,2,3.321274280548096
54,anjl 1.1.1 rapid_nj,3500,0,5.073513746261597
55,anjl 1.1.1 rapid_nj,3500,1,6.056566953659058
56,anjl 1.1.1 rapid_nj,3500,2,5.056891202926636
57,anjl 1.1.1 rapid_nj,4000,0,7.109330654144287
58,anjl 1.1.1 rapid_nj,4000,1,8.693007946014404
59,anjl 1.1.1 rapid_nj,4000,2,7.118940114974976
60,anjl 1.1.1 rapid_nj,4500,0,10.444806098937988
61,anjl 1.1.1 rapid_nj,4500,1,11.126901388168337
62,anjl 1.1.1 rapid_nj,4500,2,9.36244535446167
63,anjl 1.1.1 rapid_nj,5000,0,13.8325297832489
64,anjl 1.1.1 rapid_nj,5000,1,13.226693630218506
65,anjl 1.1.1 rapid_nj,5000,2,12.412379026412964
66,anjl 1.1.1 rapid_nj,5500,0,18.040385246276852
67,anjl 1.1.1 rapid_nj,5500,1,19.16460585594177
68,anjl 1.1.1 rapid_nj,5500,2,15.906741857528688
69,anjl 1.1.1 rapid_nj,6000,0,22.848654985427856
70,anjl 1.1.1 rapid_nj,6000,1,20.789166927337646
71,anjl 1.1.1 rapid_nj,6000,2,21.99839496612549
72,anjl 1.1.1 rapid_nj,6500,0,27.443777322769165
73,anjl 1.1.1 rapid_nj,6500,1,26.79159426689148
74,anjl 1.1.1 rapid_nj,6500,2,25.33785080909729
75,anjl 1.1.1 rapid_nj,7000,0,31.11081552505493
76,anjl 1.1.1 rapid_nj,7000,1,31.11191463470459
77,anjl 1.1.1 rapid_nj,7000,2,30.391722917556763
78,anjl 1.1.1 rapid_nj,7500,0,39.98004484176636
79,anjl 1.1.1 rapid_nj,7500,1,36.36971592903137
80,anjl 1.1.1 rapid_nj,7500,2,34.12321400642395
81,anjl 1.1.1 rapid_nj,8000,0,41.42710280418396
82,anjl 1.1.1 rapid_nj,8000,1,46.67023229598999
83,anjl 1.1.1 rapid_nj,8000,2,39.76981043815613
84,anjl 1.1.1 rapid_nj,8500,0,46.78846979141235
85,anjl 1.1.1 rapid_nj,8500,1,49.9721405506134
86,anjl 1.1.1 rapid_nj,8500,2,49.46312761306763
